HourIntoFuture,Uncertainty
0,0.000109208
1,0.000218416
2,0.00045694
3,0.000715481
4,0.000993953
5,0.001292266
6,0.001610331
7,0.001948061
8,0.002305366
9,0.002682159
10,0.003078349
11,0.00349385
12,0.003928571
13,0.004382425
14,0.004855324
15,0.005347178
16,0.005857898
17,0.006387398
18,0.006935586
19,0.007502377
20,0.008087679
21,0.008691406
22,0.009313468
23,0.009953777
24,0.010612245
25,0.011288782
26,0.0119833
27,0.012695711
28,0.013425926
29,0.014173856
30,0.014939413
31,0.015722508
32,0.016523053
33,0.01734096
34,0.018176138
35,0.019028501
36,0.019897959
37,0.020784424
38,0.021687807
39,0.02260802
40,0.023544974
41,0.02449858
42,0.02546875
43,0.026455396
44,0.027458428
45,0.028477759
46,0.029513299
47,0.03056496
48,0.031632653
49,0.032716291
50,0.033815784
51,0.034931043
52,0.036061981
53,0.037208508
54,0.038370536
55,0.039547977
56,0.040740742
57,0.041948741
58,0.043171888
59,0.044410092
60,0.045663266
61,0.046931321
62,0.048214169
63,0.04951172
64,0.050823886
65,0.05215058
66,0.053491711
67,0.054847191
68,0.056216933
69,0.057600847
70,0.058998844
71,0.060410837
72,0.061836737
73,0.063276454
74,0.064729901
75,0.066196989
76,0.067677629
77,0.069171733
78,0.070679212
79,0.072199977
80,0.073733941
81,0.075281014
82,0.076841107
83,0.078414133
84,0.080000003
85,0.081598628
86,0.083209919
87,0.084833789
88,0.086470147
89,0.088118907
90,0.089779978
91,0.091453274
92,0.093138704
93,0.094836181
94,0.096545616
95,0.09826692
96,0.100000005
97,0.101744782
98,0.103501162
99,0.105269058
100,0.10704838
101,0.10883904
102,0.110640949
103,0.112454019
104,0.114278161
105,0.116113287
106,0.117959308
107,0.119816135
108,0.12168368
109,0.123561854
110,0.125450569
111,0.127349736
112,0.129259266
113,0.131179071
114,0.133109063
115,0.135049153
116,0.136999252
117,0.138959271
118,0.140929122
119,0.142908717
120,0.144897967
121,0.146896783
122,0.148905077
123,0.15092276
124,0.152949744
125,0.15498594
126,0.157031259
127,0.159085613
128,0.161148913
129,0.163221071
130,0.165301999
131,0.167391606
132,0.169489806
133,0.171596509
134,0.173711627
135,0.175835071
136,0.177966753
137,0.180106584
138,0.182254475
139,0.184410339
140,0.186574086
141,0.188745627
142,0.190924875
143,0.19311174
144,0.195306135
145,0.19750797
146,0.199717156
147,0.201933607
148,0.204157232
149,0.206387943
150,0.208625651
151,0.210870269
152,0.213121707
153,0.215379877
154,0.21764469
155,0.219916058
156,0.222193892
157,0.224478104
158,0.226768605
159,0.229065306
160,0.231368118
161,0.233676954
162,0.235991725
163,0.238312342
164,0.240638716
165,0.24297076
166,0.245308383
167,0.247651499
168,0.250000017
169,0.252353851
170,0.25471291
171,0.257077107
172,0.259446352
173,0.261820558
174,0.264199636
175,0.266583497
176,0.268972053
177,0.271365214
178,0.273762893
179,0.276165001
180,0.278571449
181,0.280982149
182,0.283397011
183,0.285815949
184,0.288238872
185,0.290665693
186,0.293096323
187,0.295530673
188,0.297968654
189,0.300410179
190,0.302855158
191,0.305303503
192,0.307755125
193,0.310209936
194,0.312667848
195,0.315128771
196,0.317592617
197,0.320059297
198,0.322528724
199,0.325000808
200,0.32747546
201,0.329952593
202,0.332432117
203,0.334913944
204,0.337397986
205,0.339884153
206,0.342372358
207,0.344862511
208,0.347354525
209,0.34984831
210,0.352343778
211,0.354840841
212,0.357339409
213,0.359839394
214,0.362340709
215,0.364843263
216,0.367346969
217,0.369851737
218,0.37235748
219,0.374864109
220,0.377371535
221,0.37987967
222,0.382388424
223,0.384897711
224,0.38740744
225,0.389917523
226,0.392427872
227,0.394938398
228,0.397449013
229,0.399959628
230,0.402470154
231,0.404980503
232,0.407490586
233,0.410000315
234,0.412509602
235,0.415018356
236,0.417526491
237,0.420033917
238,0.422540546
239,0.425046289
240,0.427551058
241,0.430054763
242,0.432557318
243,0.435058632
244,0.437558617
245,0.440057186
246,0.442554248
247,0.445049716
248,0.447543502
249,0.450035515
250,0.452525669
251,0.455013874
252,0.457500041
253,0.459984083
254,0.46246591
255,0.464945434
256,0.467422567
257,0.46989722
258,0.472369303
259,0.47483873
260,0.47730541
261,0.479769257
262,0.48223018
263,0.484688091
264,0.487142902
265,0.489594525
266,0.49204287
267,0.494487849
268,0.496929374
269,0.499367355
270,0.501801705
271,0.504232335
272,0.506659156
273,0.50908208
274,0.511501017
275,0.51391588
276,0.51632658
277,0.518733028
278,0.521135136
279,0.523532815
280,0.525925977
281,0.528314532
282,0.530698393
283,0.533077471
284,0.535451677
285,0.537820923
286,0.54018512
287,0.54254418
288,0.544898013
289,0.547246532
290,0.549589647
291,0.551927271
292,0.554259315
293,0.556585689
294,0.558906306
295,0.561221077
296,0.563529913
297,0.565832726
298,0.568129427
299,0.570419928
300,0.57270414
301,0.574981974
302,0.577253342
303,0.579518156
304,0.581776326
305,0.584027764
306,0.586272382
307,0.588510091
308,0.590740802
309,0.592964427
310,0.595180878
311,0.597390065
312,0.5995919
313,0.601786294
314,0.60397316
315,0.606152408
316,0.60832395
317,0.610487697
318,0.61264356
319,0.614791452
320,0.616931283
321,0.619062965
322,0.62118641
323,0.623301528
324,0.625408231
325,0.627506431
326,0.629596039
327,0.631676966
328,0.633749125
329,0.635812425
330,0.63786678
331,0.639912099
332,0.641948295
333,0.643975279
334,0.645992962
335,0.648001256
